Company Number,Company Name,Date Incorporated,Active Directors,Registered Address
SC345006,GREY LODGE SETTLEMENT,6/26/2008,7,"21 South George Street, Dundee, Tayside, DD1 2QF"
05112434,GROSVENOR CONSULTANCY SERVICES LIMITED,4/26/2004,2,"36 Herons Place, Isleworth, England, TW7 7BE"
03277391,"GROVES, JOHN & WESTRUP LIMITED",11/12/1996,6,"Walker House 8th Floor, Exchange Flags, Liverpool, England, L2 3YL"
01565756,H.W. WOOD LIMITED,6/2/1981,7,"The Baltic Exchange, 38 St Mary Axe, London, EC3A 8BH"
07293628,HALKYN CONSULTING LTD,6/23/2010,1,"The Red House, Bryn Offa Lane, Mold, Clwyd, CH7 6RQ"
05531211,HALLMARK FINANCIAL SERVICES LIMITED,8/9/2005,2,"Unit 5 Essex Technology And, Innovation Centre The Gables, Ongar, Essex, CM5 0GA"
05127653,HAMPDEN HOUSE PSYCHOTHERAPY LTD,5/13/2004,3,"Hampden House, 2 Palatine Road, Withington, Manchester, M20 3JA"
04865503,HANNELLS LIMITED,8/13/2003,2,"55-57 High Street, Chellaston, Derby, Derbyshire, England, DE73 6TB"
01349620,HARBOROUGH PORTAS FINANCIAL SOLUTIONS LTD,1/23/1978,2,"The Greeen 38-40 High Street, Syston, Leicester, Leics, LE7 1GP"
01780746,HARBOROUGH PORTAS LIMITED,12/23/1983,5,"The Green, 38-40 High Street, Syston Leicester, Leicestershire, LE7 1GP"
07729793,HARD TO INSURE LIMITED,8/4/2011,2,"4 - 6 Aaron Road Whittlesey, Peterborough, United Kingdom, PE7 2EX"
10328657,HARMONY HEALTH COVER LTD,8/15/2016,2,"1 Winston Parade, 55 Lymington Road, New Milton, England, BH25 6PT"
07354942,HARRIDEC LTD,8/24/2010,2,"15 Turners Close, Ongar, Essex, CM5 9HH"
04582221,HARRISON BEAUMONT INSURANCE SERVICES LIMITED,11/5/2002,2,"Globe House, Turret Lane, Ipswich, IP4 1DL"
04949969,HARRY WILLIS LIMITED,10/31/2003,1,"93 Monkchester Road, Newcastle Upon Tyne, Tyne And Wear, NE6 2LL"
00816448,HAYES PARSONS LIMITED,8/20/1964,2,"Colston Tower, Colston Street, Bristol, BS1 4XE"
02426471,HEDON INSURANCE CONSULTANTS LIMITED,9/26/1989,5,"24 New Road, Hedon, Nr Hull, HU12 8EN"
07394466,HILLMAN SAUNDERS LIMITED,10/1/2010,2,"Fusion People Ltd, 2nd Floor, 3700 Parkway, Whiteley, Fareham, Hampshire, England, PO15 7AW"
04340771,HINE INSURANCE BROKERS LIMITED,12/14/2001,2,"79-81 School Lane, Didsbury, Manchester, M20 6WN"
09629697,HINKS HOLDINGS LTD,6/9/2015,1,"16 Wright Street, Hull, East Yorkshire, United Kingdom, HU2 8JU"
04639108,HIT SYSTEMS LIMITED,1/16/2003,2,"1 Richard Taunton Place, Highfield, Southampton, Hampshire, SO17 1UA"
SC225548,HK MORTGAGES LIMITED,11/21/2001,1,"88 Henderson Street, Bridge Of Allan, Stirling, FK9 4HA"
04659831,HOWELL INSURANCE SERVICES LIMITED,2/10/2003,2,"HOWELL INSURANCE SERVICES LTD, Island House, Colhugh Street, Llantwit Major, South Glamorgan, CF61 1RE"
00056674,"HUGGINS AND COMPANY,LIMITED",26/3/1898,1,"Westgate Brewery, Bury St Edmunds, Suffolk, United Kingdom, IP33 1QT"
04145086,HULL SELF STORE LIMITED,1/22/2001,3,"C/O H Appleyard And Sons Ltd, Denby Way Hellaby Industrial, Estate Hellaby Rotherham, South Yorkshire, S66 8HR"
05006938,HW ASSOCIATES LIMITED,1/6/2004,1,"Portmill House, Portmill Lane, Hitchin, Hertfordshire, SG5 1DJ"
04614939,IFL MANAGEMENT LIMITED,12/11/2002,1,"Runnymede Malthouse Business Centre, Malthouse Lane, Egham, Surrey, TW20 9BD"
04319592,INFINITY INSURANCE SOLUTIONS LIMITED,11/8/2001,4,"2nd Floor 1 Tower View, Kings Hill, West Malling, Kent, ME19 4UY"
06788541,INGENI SERVICES LIMITED,1/12/2009,2,"Unit 11 Foundry Lane, Earls Colne, Colchester, England, CO6 2TE"
10475094,INSPIRE NLP LIMITED,11/11/2016,1,"Elm Cottage, Green Lane, Redruth, United Kingdom, TR15 1LT"
10467143,INSPIRED PROTECT LTD,11/7/2016,1,"Channing House, 14 Butts Road, Alton, United Kingdom, GU34 1ND"
04502773,INSURANCE LTD,8/2/2002,1,"85 Great Portland Street, London, England, W1W 7LT"
08150845,INTERPRETING GLOBAL LIMITED,7/20/2012,1,"Unit 1 The Crossroads Freckleton Street, Kirkham, Preston, England, PR4 2SH"
01338085,IRVINE INSURANCE BROKERS LIMITED,11/9/1977,3,"33 Hampton Street, Warwick, CV34 6HU"
09182276,J W SEAGON AND CO INSURANCE BROKERS (UK) LTD,8/19/2014,2,"Elm Cottage, Church Farm Barns Church Road, North Farmbridge, Essex, United Kingdom, CM3 6LU"
01076768,J. ILLINGWORTH AND COMPANY LIMITED,10/16/1972,4,"Newgate House, 1 Newgate, York, North Yorkshire, YO1 7LA"
03570857,JADE STANLEY LIMITED,5/27/1998,1,"5 Chapel Mews, Waterloo Street, Hove, East Sussex, BN3 1AR"
08715032,JAIRAM OUTSOURCING LIMITED,10/2/2013,1,"50 Salisbury Road, Hounslow, London, England, TW4 6JQ"
04681610,JAMES & LINDSAY LTD,2/28/2003,3,"201 Shrub End Road, Colchester, Essex, United Kingdom, CO3 4RH"
06522472,JAMES ROSE ASSOCIATES LIMITED,3/4/2008,2,"39 Oakdale Road, Nottingham, NG3 7EL"
07459307,JANE CHEWINS LTD,12/3/2010,1,"First Floor, Pembroke House Ellice Way, Wrexham Technology Park, Wrexham, Wales, LL13 7YT"
09041910,JARDINE KENNEDY MANAGEMENT SERVICES LIMITED,5/15/2014,2,"1st Floor 2 Woodberry Grove, Finchley, London, N12 0DR"
08012029,JASON O'BRIEN & FAMILY FUNERAL SERVICES LIMITED,3/29/2012,2,"84 Huxley Street, Oldham, United Kingdom, OL4 5JZ"
01695253,JCT600 (SOUTH YORKSHIRE) LIMITED,1/28/1983,4,"Tordoff House, Apperley Bridge, Bradford, West Yorkshire, BD10 0PQ"
00413250,JCT600 LIMITED,6/20/1946,6,"Tordoff House, Apperley Bridge, Bradford, West Yorkshire, BD10 0PQ"
03272229,JDC CONSULTANTS LIMITED,10/31/1996,1,"First Floor Redington Court, 69 Church Road Hove, East Sussex, BN3 2BB"
10519446,JDMS (WYBOSTON) LIMITED,12/9/2016,1,"Suite 4 Wyboston Lakes Hotel, Wyboston, England, MK44 3BA"
04487685,JEM TRANSPORT LTD,7/16/2002,2,"30 Flowery Leys Lane, Alfreton, Derbyshire, DE55 7HA"
03871797,JENKINSON & CO (HOLDINGS) LIMITED,11/4/1999,4,"New Ebury House, South Grove, Rotherham, South Yorkshire, S60 2AF"
04551885,JEQUIER NEWITT INSURANCE BROKERS LIMITED,10/2/2002,2,"Suite 1a Tannery Court, Stratton Way, Abingdon, Oxfordshire, OX14 5TS"
10121252,JERICHO RECRUITMENT SOLUTIONS LIMITED,4/13/2016,1,"42 Office 74, 42 Triangle West, Clifton, Bristol, England, BS8 1ES"
07292363,JK COMMS LIMITED,6/22/2010,1,"Unit 3 Diamond Business Centre, Holland Road, Oxted, Surrey, RH8 9BQ"
11926731,JLL INSURANCE SERVICES LTD,4/4/2019,1,"Oswaldtwistle Mills Business & Conference Centre, Pickup Street, Accrington, England, BB5 0EY"
00572366,JOHN DARKE LIMITED,10/3/1956,13,"A16 Garage, Grimsby Road, Louth, Lincolnshire, LN11 0EA"
03265305,JOHN HARRISON (WORKSOP) LIMITED,10/18/1996,1,"78 Carlton Road, Worksop, Nottinghamshire, S80 1PH"
